Date,Open,High,Low,Close
2018-01-01,34045.59,34112.60,34027.56,34067.80
2018-01-02,34027.24,34098.19,33976.85,34050.69
2018-01-03,34005.27,34081.17,33980.63,34011.81
2018-01-04,34003.71,34035.58,33894.39,33968.47
2018-01-05,34039.80,34117.96,34010.20,34046.62
2018-01-08,34080.22,34201.54,34065.71,34158.46
2018-01-09,34122.44,34228.38,34035.50,34135.92
2018-01-10,34120.09,34138.95,34016.71,34069.72
2018-01-11,34116.99,34266.37,33970.25,34117.09
2018-01-12,34123.38,34158.27,34014.69,34099.45
2018-01-15,34149.40,34190.51,34060.08,34132.85
2018-01-16,34048.63,34168.46,33959.43,34046.64
2018-01-17,34114.90,34189.14,34062.32,34118.92
2018-01-18,34201.66,34324.71,34112.31,34241.15
2018-01-19,34242.41,34253.51,34190.92,34245.70
2018-01-22,34161.85,34261.20,34018.27,34157.23
2018-01-23,34189.85,34276.13,34050.61,34171.64
2018-01-24,34135.93,34158.08,34132.01,34142.65
2018-01-25,34178.45,34303.35,34117.35,34201.28
2018-01-26,34157.95,34181.06,34120.76,34144.07
2018-01-29,34176.16,34292.71,34118.14,34182.90
2018-01-30,34168.90,34240.93,34067.34,34171.36
2018-01-31,34116.42,34229.01,33974.94,34104.37
2018-02-01,34201.18,34293.77,34057.92,34164.30
2018-02-02,34094.93,34111.29,34028.19,34066.70
2018-02-05,33993.64,34139.20,33917.11,34032.53
2018-02-06,34051.86,34108.20,34046.42,34064.79
2018-02-07,34053.94,34093.52,33916.33,33995.13
2018-02-08,34043.57,34067.02,33992.10,34024.76
2018-02-09,33962.38,34040.50,33953.34,33999.48
2018-02-12,33945.96,33971.97,33845.27,33904.36
2018-02-13,33934.01,33957.66,33787.35,33894.83
2018-02-14,33973.89,34058.19,33909.12,33970.47
2018-02-15,33975.06,34010.35,33969.55,33982.35
2018-02-16,33953.48,34064.99,33883.28,33963.18
2018-02-19,34019.65,34031.82,33958.89,34001.90
